id_pelanggan,kota,metode_bayar,jenis_kelamin,pernah_komplain,berlangganan_premium,kepuasan,tingkat_membership,usia,jumlah_transaksi,jumlah_produk_dilihat,total_belanja,lama_langganan_bulan,rata_rata_rating,tahun_bergabung,tanggal_transaksi_terakhir,ulasan
CUST-1146,Jakarta,COD,L,Tidak,Tidak,Sedang,Silver,22,21,15,2875000.0,43.7,3.9,2021,2025-06-18,barang sesuai tapi pengiriman agak lama
CUST-0169,Jakarta,Transfer Bank,L,Tidak,Ya,Tinggi,Bronze,26,1,25,153000.0,21.4,4.0,2023,2024-07-19,penjual responsif pelayanan memuaskan
CUST-1378,Medan,E-Wallet,L,Tidak,Tidak,Tinggi,Silver,47,31,24,2426000.0,57.5,4.9,2020,2024-08-24,produk bagus harga sesuai kualitas
CUST-0757,Jakarta,COD,L,Tidak,Tidak,Sangat Tinggi,Bronze,31,30,29,1387000.0,48.1,4.6,2020,2024-12-09,barang sesuai deskripsi pengiriman cepat
CUST-0362,Jakarta,COD,L,Tidak,Ya,Tinggi,Silver,36,20,17,2636000.0,38.7,4.1,2021,2025-05-24,produk bagus harga sesuai kualitas
CUST-1194,Makassar,COD,P,Tidak,Ya,Tinggi,Bronze,28,16,33,,30.1,4.3,2022,2024-08-07,produk bagus harga sesuai kualitas
CUST-1469,Bandung,E-Wallet,P,Tidak,Tidak,Sangat Tinggi,Bronze,37,11,30,908000.0,47.1,4.0,2021,2025-05-31,sangat puas belanja lagi di sini
CUST-0307,Surabaya,Transfer Bank,L,Tidak,Ya,Sangat Tinggi,Bronze,34,22,27,852000.0,41.9,4.7,2021,2025-02-08,sangat puas belanja lagi di sini
CUST-1024,Surabaya,E-Wallet,P,Tidak,Tidak,Sangat Tinggi,Bronze,33,8,17,954000.0,29.5,4.5,2022,2024-08-15,sangat puas belanja lagi di sini
CUST-0637,Bandung,E-Wallet,P,Ya,Ya,Tinggi,Bronze,32,14,13,1239000.0,8.2,5.0,2024,2024-08-27,pengiriman cepat barang aman sampai
CUST-0919,Jakarta,Transfer Bank,P,Tidak,Tidak,Rendah,Bronze,32,10,2,1395000.0,17.5,3.2,2023,2025-03-19,pengiriman lama kemasan rusak
CUST-0176,Jakarta,COD,L,Tidak,Tidak,Tinggi,Silver,40,25,22,5113000.0,59.4,4.7,2020,2024-07-01,penjual responsif pelayanan memuaskan
CUST-1023,Makassar,E-Wallet,L,Tidak,Tidak,Sangat Tinggi,Bronze,48,11,24,827000.0,20.9,5.0,2023,2025-06-15,barang sesuai deskripsi pengiriman cepat
CUST-0894,Jakarta,Transfer Bank,P,Tidak,Tidak,Sangat Rendah,Bronze,43,2,58,185000.0,13.4,1.8,2023,2024-09-04,sangat kecewa produk tidak sesuai
CUST-0901,Surabaya,E-Wallet,L,Tidak,Tidak,Tinggi,Silver,18,14,13,2545000.0,22.2,4.1,2023,2025-05-05,produk bagus harga sesuai kualitas
CUST-1253,Jakarta,Kartu Kredit,L,Tidak,Tidak,Sangat Tinggi,Silver,36,28,23,2218000.0,51.4,4.8,2020,2025-02-27,barang sesuai deskripsi pengiriman cepat
CUST-1010,Surabaya,E-Wallet,P,Tidak,Tidak,Sangat Tinggi,Bronze,37,15,28,1610000.0,32.2,4.9,2022,2024-11-22,barang sesuai deskripsi pengiriman cepat
CUST-1288,Jakarta,E-Wallet,L,Tidak,Tidak,Sangat Tinggi,Bronze,23,1,21,121000.0,7.9,5.0,2024,2024-11-04,sangat puas belanja lagi di sini
CUST-0077,Jakarta,Kartu Kredit,L,Tidak,Ya,Tinggi,Silver,33,20,18,4053000.0,37.9,4.7,2021,2025-06-23,penjual responsif pelayanan memuaskan
CUST-1043,Bandung,E-Wallet,L,Tidak,Ya,Sangat Tinggi,Bronze,29,13,18,1732000.0,6.0,4.9,2024,2025-06-30,sangat puas belanja lagi di sini
CUST-0678,Surabaya,Kartu Kredit,P,Ya,Tidak,Sedang,Bronze,18,44,30,1844000.0,53.6,4.2,2020,2025-03-10,kualitas produk standar harga wajar
CUST-0068,Jakarta,Transfer Bank,L,Ya,Tidak,Rendah,Bronze,56,8,39,624000.0,14.3,4.2,2023,2024-09-23,penjual lambat membalas pesan
CUST-1209,jakarta ,Transfer Bank,L,Ya,Tidak,Sangat Rendah,Bronze,26,4,54,,11.2,2.6,2024,2024-11-10,barang rusak penjual tidak merespons
CUST-0240,Jakarta,Kartu Kredit,L,Tidak,Ya,Sangat Tinggi,Silver,31,23,1,4022000.0,34.4,4.4,2022,2024-12-14,kualitas produk bagus penjual ramah
CUST-0529,Medan,E-Wallet,P,Tidak,Tidak,Rendah,Bronze,26,13,6,888000.0,31.3,3.1,2022,2024-08-05,produk tidak sesuai deskripsi
CUST-0050,Jakarta,Transfer Bank,L,Tidak,Ya,Sedang,Silver,22,17,32,7149000.0,30.6,3.8,2022,2024-09-23,kualitas produk standar harga wajar
CUST-0310,Jakarta,Transfer Bank,L,Tidak,Tidak,Sangat Tinggi,Bronze,19,19,20,1471000.0,42.9,4.9,2021,2024-07-19,sangat puas belanja lagi di sini
CUST-0071,Jakarta,E-Wallet,L,Tidak,Ya,Sedang,Gold,28,29,38,10612000.0,55.2,4.3,2020,2024-07-16,kualitas produk standar harga wajar
CUST-0746,Surabaya,Transfer Bank,P,Tidak,Tidak,Sedang,Bronze,23,1,18,123000.0,6.8,4.4,2024,2025-05-24,barang sesuai tapi pengiriman agak lama
CUST-0586,Bandung,Transfer Bank,P,Tidak,Ya,Sangat Tinggi,Bronze,33,6,40,390000.0,16.2,4.6,2023,2024-06-11,kualitas produk bagus penjual ramah
CUST-0803,Makassar,E-Wallet,L,Tidak,Tidak,Sangat Tinggi,Bronze,19,10,15,1052000.0,30.1,4.3,2022,2024-07-20,kualitas produk bagus penjual ramah
CUST-0298,Medan,Transfer Bank,P,Tidak,Ya,Sedang,Silver,50,28,30,3575000.0,39.0,3.6,2021,2025-01-02,cukup baik walau kemasan kurang rapi
CUST-1206,Jakarta,E-Wallet,P,Tidak,Ya,Sangat Tinggi,Bronze,35,11,13,1312000.0,24.7,5.0,2022,2024-08-24,barang sesuai deskripsi pengiriman cepat
CUST-1068,Bandung,Transfer Bank,P,Tidak,Ya,Tinggi,Silver,46,39,11,,56.9,3.8,2020,2024-06-12,pengiriman cepat barang aman sampai
CUST-0945,Surabaya,E-Wallet,L,Tidak,Ya,Sedang,Silver,48,14,25,2126000.0,23.6,4.1,2023,2025-06-28,cukup baik walau kemasan kurang rapi
CUST-0486,Surabaya,COD,P,Tidak,Tidak,Sedang,Silver,35,32,26,3443000.0,53.4,3.4,2020,2024-10-24,kualitas produk standar harga wajar
CUST-0221,Jakarta,Transfer Bank,L,Tidak,Ya,Tinggi,Silver,51,17,45,6115000.0,27.2,4.0,2022,2024-06-24,produk bagus harga sesuai kualitas
CUST-0501,Bandung,Kartu Kredit,L,Tidak,Tidak,Tinggi,Bronze,23,15,24,1722000.0,55.0,4.0,2020,2024-09-02,produk bagus harga sesuai kualitas
CUST-0768,Jakarta,E-Wallet,L,Tidak,Ya,Sangat Tinggi,Silver,30,23,40,4745000.0,29.1,4.2,2022,2025-02-03,barang sesuai deskripsi pengiriman cepat
CUST-0275,Bandung,E-Wallet,P,Ya,Tidak,Sangat Rendah,Bronze,36,13,3,568000.0,3.1,3.1,2024,2024-12-15,pengiriman sangat lama dan barang cacat
CUST-0932,Surabaya,Kartu Kredit,P,Tidak,Tidak,Tinggi,Bronze,43,25,22,1165000.0,43.7,4.0,2021,2024-06-24,pengiriman cepat barang aman sampai
CUST-0755,Bandung,COD,L,Tidak,Tidak,Sedang,Bronze,47,22,20,1990000.0,26.9,3.3,2022,2024-08-23,cukup baik walau kemasan kurang rapi
CUST-1126,Surabaya,E-Wallet,L,Tidak,Tidak,Tinggi,Silver,40,28,25,4386000.0,59.9,4.0,2020,2025-03-08,pengiriman cepat barang aman sampai
CUST-0424,Jakarta,E-Wallet,L,Tidak,Ya,Sangat Tinggi,Silver,21,26,25,,47.2,5.0,2021,2024-10-25,sangat puas belanja lagi di sini
CUST-1324,Medan,COD,L,Tidak,Ya,Sangat Tinggi,Silver,43,32,26,3356000.0,55.9,4.8,2020,2024-07-09,barang sesuai deskripsi pengiriman cepat
CUST-0987,Surabaya,Kartu Kredit,L,Tidak,Tidak,Sangat Tinggi,Bronze,50,17,41,931000.0,36.3,4.8,2021,2025-03-01,barang sesuai deskripsi pengiriman cepat
CUST-0991,Bandung,COD,P,Tidak,Tidak,Sedang,Bronze,40,8,7,370000.0,8.5,3.4,2024,2024-10-09,kualitas produk standar harga wajar
CUST-0925,Jakarta,COD,L,Tidak,Ya,Sangat Tinggi,Silver,37,12,19,2789000.0,20.7,4.1,2023,2025-05-29,kualitas produk bagus penjual ramah
CUST-1210,Surabaya,E-Wallet,L,Tidak,Ya,Tinggi,Silver,47,29,23,6601000.0,37.8,4.4,2021,2025-05-22,penjual responsif pelayanan memuaskan
CUST-0030,Bandung,Transfer Bank,L,Tidak,Tidak,Rendah,Bronze,33,9,36,1902000.0,11.3,3.6,2024,2024-06-10,penjual lambat membalas pesan
CUST-1176,Bandung,E-Wallet,P,Tidak,Tidak,Sedang,Bronze,44,2,28,262000.0,1.3,3.7,2024,2025-06-16,barang sesuai tapi pengiriman agak lama
CUST-1113,Bandung,E-Wallet,P,Tidak,Tidak,Rendah,Silver,43,23,3,4817000.0,41.1,3.2,2021,2025-01-12,pengiriman lama kemasan rusak
CUST-1495,Surabaya,E-Wallet,L,Tidak,Ya,Sangat Tinggi,Silver,35,32,35,4782000.0,54.0,4.4,2020,2024-07-04,sangat puas belanja lagi di sini
CUST-0066,Surabaya,E-Wallet,L,Tidak,Ya,Sangat Tinggi,Silver,18,28,21,2437000.0,52.3,4.6,2020,2024-09-20,kualitas produk bagus penjual ramah
CUST-1089,Surabaya,E-Wallet,L,Tidak,Tidak,Sedang,Bronze,31,10,1,1397000.0,11.7,3.5,2024,2024-08-24,cukup baik walau kemasan kurang rapi
CUST-0406,Medan,E-Wallet,P,Tidak,Ya,Sangat Tinggi,Bronze,44,17,25,1333000.0,43.7,4.2,2021,2025-03-27,barang sesuai deskripsi pengiriman cepat
CUST-1318,Jakarta,E-Wallet,P,Tidak,Ya,Tinggi,Silver,19,28,33,5911000.0,58.3,4.5,2020,2025-04-03,pengiriman cepat barang aman sampai
CUST-0124,Surabaya,Transfer Bank,L,Tidak,Ya,Tinggi,Bronze,24,8,27,1925000.0,21.2,4.7,2023,2024-07-06,penjual responsif pelayanan memuaskan
CUST-1167,Medan,COD,L,Tidak,Ya,Tinggi,Silver,23,24,20,4617000.0,43.4,4.2,2021,2024-06-28,pengiriman cepat barang aman sampai
CUST-0922,Medan,Transfer Bank,P,Tidak,Tidak,Rendah,Gold,29,24,49,11149000.0,47.7,2.7,2021,2024-10-13,produk tidak sesuai deskripsi
CUST-1386,Jakarta,Transfer Bank,P,Ya,Tidak,Sangat Rendah,Bronze,28,19,4,1381000.0,47.6,3.0,2021,2025-02-23,sangat kecewa produk tidak sesuai
CUST-0125,Jakarta,E-Wallet,L,Tidak,Tidak,Sedang,Bronze,30,9,44,643000.0,4.9,3.9,2024,2024-12-07,cukup baik walau kemasan kurang rapi
CUST-0567,Medan,E-Wallet,P,Tidak,Ya,Tinggi,Silver,52,24,16,3171000.0,34.9,4.6,2022,2024-08-31,penjual responsif pelayanan memuaskan
CUST-0483,Bandung,Kartu Kredit,P,Tidak,Ya,Sangat Tinggi,Silver,25,24,36,4429000.0,52.2,5.0,2020,2025-05-23,sangat puas belanja lagi di sini
CUST-0917,Jakarta,Transfer Bank,P,Ya,Tidak,Sangat Rendah,Bronze,36,11,5,1574000.0,21.6,3.3,2023,2024-10-06,pengiriman sangat lama dan barang cacat
CUST-1272,Surabaya,Kartu Kredit,L,Tidak,Ya,Sedang,Gold,17,34,14,,55.2,,2020,2025-06-18,cukup baik walau kemasan kurang rapi
CUST-0479,Bandung,Kartu Kredit,P,Tidak,Tidak,Sangat Tinggi,Bronze,36,6,24,253000.0,15.6,4.9,2023,2024-07-05,sangat puas belanja lagi di sini
CUST-0491,Bandung,Transfer Bank,P,Ya,Tidak,Sangat Rendah,Bronze,21,14,46,1485000.0,16.4,3.3,2023,2024-08-03,barang rusak penjual tidak merespons
CUST-1472,Jakarta,E-Wallet,L,Ya,Ya,Sedang,Gold,17,36,25,9946000.0,49.0,5.0,2020,2025-02-16,kualitas produk standar harga wajar
CUST-1415,Jakarta,E-Wallet,L,Tidak,Tidak,Sangat Tinggi,Silver,52,15,21,,39.8,5.0,2021,2025-05-13,kualitas produk bagus penjual ramah
CUST-0671,Jakarta,E-Wallet,L,Tidak,Tidak,Tinggi,Silver,55,13,21,2373000.0,22.7,3.9,2023,2025-05-04,produk bagus harga sesuai kualitas
CUST-0940,Jakarta,Kartu Kredit,L,Tidak,Tidak,Sangat Tinggi,Bronze,39,8,12,555000.0,17.0,4.3,2023,2024-09-16,sangat puas belanja lagi di sini
CUST-1444,Jakarta,Transfer Bank,P,Tidak,Ya,Sangat Tinggi,Bronze,33,4,41,848000.0,10.1,4.4,2024,2025-04-01,barang sesuai deskripsi pengiriman cepat
CUST-0045,Medan,E-Wallet,P,Tidak,Ya,Tinggi,Bronze,53,21,27,1076000.0,32.2,4.4,2022,2025-01-15,penjual responsif pelayanan memuaskan
CUST-0060,Jakarta,Kartu Kredit,L,Tidak,Ya,Sangat Tinggi,Silver,59,28,35,3572000.0,53.3,4.9,2020,2025-05-11,sangat puas belanja lagi di sini
CUST-1371,Jakarta,E-Wallet,L,Tidak,Tidak,Sangat Tinggi,Bronze,29,12,17,1252000.0,18.6,4.6,2023,2024-07-04,kualitas produk bagus penjual ramah
CUST-1211,Bandung,COD,P,Tidak,Ya,Tinggi,Bronze,47,15,9,1156000.0,31.3,3.8,2022,2025-05-04,penjual responsif pelayanan memuaskan
CUST-0024,Makassar,Kartu Kredit,P,Tidak,Tidak,Tinggi,Bronze,34,26,6,1054000.0,52.8,4.1,2020,2024-07-29,produk bagus harga sesuai kualitas
CUST-1076,Jakarta,E-Wallet,L,Tidak,Tidak,Tinggi,Bronze,37,14,25,1923000.0,28.2,4.3,2022,2024-12-07,produk bagus harga sesuai kualitas
CUST-0775,Jakarta,Kartu Kredit,P,Tidak,Tidak,Sangat Tinggi,Silver,30,15,41,2707000.0,31.5,4.8,2022,2025-01-15,barang sesuai deskripsi pengiriman cepat
CUST-1066,Makassar,E-Wallet,P,Tidak,Ya,Tinggi,Silver,26,16,20,4601000.0,48.8,4.4,2020,2025-03-05,pengiriman cepat barang aman sampai
CUST-1228,Surabaya,Transfer Bank,L,Tidak,Tidak,Tinggi,Bronze,50,9,14,1361000.0,19.8,4.5,2023,2024-09-09,produk bagus harga sesuai kualitas
CUST-0773,Bandung,Kartu Kredit,P,Tidak,Tidak,Rendah,Bronze,27,19,52,1906000.0,28.4,2.6,2022,2025-03-28,produk tidak sesuai deskripsi
CUST-0434,Medan,Kartu Kredit,L,Tidak,Ya,Sangat Tinggi,Silver,19,23,16,,55.1,4.4,2020,2024-06-01,kualitas produk bagus penjual ramah
CUST-0345,Medan,Transfer Bank,P,Tidak,Ya,Sangat Tinggi,Silver,38,11,34,2185000.0,17.8,3.6,2023,2025-04-27,sangat puas belanja lagi di sini
CUST-1139,Jakarta,Kartu Kredit,P,Ya,Tidak,Sedang,Silver,24,26,31,6220000.0,43.0,4.1,2021,2025-03-28,barang sesuai tapi pengiriman agak lama
CUST-1452,Bandung,Kartu Kredit,P,Tidak,Tidak,Sangat Tinggi,Bronze,33,13,6,1804000.0,19.5,4.3,2023,2025-02-10,kualitas produk bagus penjual ramah
CUST-0116,Medan,Transfer Bank,P,Tidak,Tidak,Rendah,Silver,46,21,33,3362000.0,46.0,3.2,2021,2024-10-29,produk tidak sesuai deskripsi
CUST-1091,Jakarta,Kartu Kredit,L,Tidak,Ya,Tinggi,Bronze,34,20,26,1230000.0,29.3,4.4,2022,2025-05-26,produk bagus harga sesuai kualitas
CUST-0472,Surabaya,COD,L,Ya,Ya,Rendah,Silver,31,19,15,2125000.0,36.8,,2021,2025-01-10,pengiriman lama kemasan rusak
CUST-0290,Jakarta,Transfer Bank,L,Tidak,Tidak,Sangat Tinggi,Silver,34,26,24,2249000.0,53.6,4.5,2020,2024-12-24,sangat puas belanja lagi di sini
CUST-0707,Medan,Kartu Kredit,L,Ya,Tidak,Sangat Rendah,Bronze,35,1,45,80000.0,10.8,3.8,2024,2025-05-17,pengiriman sangat lama dan barang cacat
CUST-0621,Medan,Transfer Bank,P,Tidak,Tidak,Sangat Tinggi,Bronze,17,23,15,1468000.0,48.7,5.0,2020,2024-08-18,barang sesuai deskripsi pengiriman cepat
CUST-0429,Jakarta,Transfer Bank,P,Tidak,Tidak,Sedang,Silver,42,18,13,3763000.0,28.5,4.2,2022,2024-11-29,cukup baik walau kemasan kurang rapi
CUST-0947,Bandung,Transfer Bank,L,Tidak,Tidak,Sangat Tinggi,Bronze,38,25,14,475000.0,43.7,4.9,2021,2025-04-05,barang sesuai deskripsi pengiriman cepat
CUST-0794,Jakarta,E-Wallet,L,Tidak,Tidak,Tinggi,Bronze,44,6,11,1940000.0,35.3,4.0,2022,2024-06-28,pengiriman cepat barang aman sampai
CUST-0722,Surabaya,E-Wallet,P,Tidak,Tidak,Rendah,Bronze,35,12,17,1289000.0,23.4,3.7,2023,2024-07-18,penjual lambat membalas pesan
CUST-1289,Surabaya,COD,P,Tidak,Ya,Sedang,Bronze,28,19,24,845000.0,34.9,4.5,2022,2024-09-07,barang sesuai tapi pengiriman agak lama
CUST-0260,Bandung,COD,L,Tidak,Tidak,Tinggi,Bronze,19,8,34,,15.5,4.0,2023,2025-02-24,pengiriman cepat barang aman sampai
CUST-0079,Surabaya,COD,P,Tidak,Tidak,Rendah,Bronze,27,5,39,847000.0,5.1,3.8,2024,2025-01-30,penjual lambat membalas pesan
CUST-1223,Makassar,E-Wallet,L,Ya,Tidak,Rendah,Bronze,23,29,13,1826000.0,31.9,4.6,2022,2024-08-20,penjual lambat membalas pesan
CUST-0632,Medan,Kartu Kredit,P,Tidak,Ya,Sangat Tinggi,Bronze,35,6,14,,4.6,4.1,2024,2024-10-23,barang sesuai deskripsi pengiriman cepat
CUST-0440,Bandung,Transfer Bank,P,Tidak,Tidak,Tinggi,Bronze,53,21,13,1308000.0,34.9,,2022,2024-11-11,penjual responsif pelayanan memuaskan
CUST-0016,Jakarta,Transfer Bank,P,Tidak,Ya,Sangat Tinggi,Bronze,44,3,30,163000.0,4.5,4.5,2024,2024-11-05,sangat puas belanja lagi di sini
CUST-0498,Bandung,E-Wallet,P,Tidak,Ya,Tinggi,Bronze,33,11,40,650000.0,28.9,4.2,2022,2024-06-17,pengiriman cepat barang aman sampai
CUST-0352,Jakarta,COD,L,Tidak,Ya,Tinggi,Silver,26,30,24,2525000.0,55.2,,2020,2024-12-13,pengiriman cepat barang aman sampai
CUST-0856,Surabaya,Kartu Kredit,L,Tidak,Tidak,Sangat Tinggi,Bronze,47,8,13,493000.0,20.9,5.0,2023,2024-07-31,kualitas produk bagus penjual ramah
CUST-0204,Jakarta,E-Wallet,P,Tidak,Tidak,Sangat Tinggi,Bronze,22,9,23,869000.0,12.0,4.9,2024,2025-04-14,sangat puas belanja lagi di sini
CUST-0304,Surabaya,Kartu Kredit,P,Tidak,Ya,Tinggi,Bronze,52,4,33,441000.0,10.5,4.1,2024,2024-06-22,penjual responsif pelayanan memuaskan
CUST-0694,Jakarta,Transfer Bank,P,Tidak,Ya,Sangat Tinggi,Silver,26,26,21,3483000.0,49.3,4.7,2020,2025-04-24,sangat puas belanja lagi di sini
CUST-0527,Makassar,Kartu Kredit,L,Tidak,Tidak,Sedang,Bronze,32,1,6,101000.0,18.9,3.9,2023,2025-06-15,cukup baik walau kemasan kurang rapi
CUST-1173,Jakarta,E-Wallet,P,Tidak,Ya,Tinggi,Silver,39,22,26,3544000.0,44.4,4.8,2021,2025-03-29,produk bagus harga sesuai kualitas
CUST-1095,Bandung,Transfer Bank,L,Tidak,Tidak,Sedang,Bronze,36,22,12,1993000.0,40.9,4.2,2021,2024-10-05,kualitas produk standar harga wajar
CUST-1132,Surabaya,E-Wallet,P,Tidak,Tidak,Tinggi,Bronze,43,30,39,1063000.0,40.3,3.6,2021,2025-05-12,produk bagus harga sesuai kualitas
CUST-0487,Surabaya,Transfer Bank,P,Tidak,Ya,Rendah,Bronze,29,14,52,955000.0,16.0,2.8,2023,2024-07-15,produk tidak sesuai deskripsi
CUST-0811,Jakarta,COD,P,Tidak,Ya,Tinggi,Bronze,39,1,25,,10.9,4.3,2024,2024-09-05,penjual responsif pelayanan memuaskan
CUST-0276,Surabaya,E-Wallet,P,Ya,Tidak,Sedang,Bronze,17,19,27,1121000.0,43.9,4.5,2021,2024-07-06,barang sesuai tapi pengiriman agak lama
CUST-0590,Jakarta,E-Wallet,L,Tidak,Ya,Sedang,Bronze,43,13,25,853000.0,31.3,3.8,2022,2024-10-06,kualitas produk standar harga wajar
CUST-1383,Surabaya,E-Wallet,L,Tidak,Ya,Tinggi,Silver,35,29,14,2404000.0,56.8,4.3,2020,2025-03-25,pengiriman cepat barang aman sampai
CUST-0886,Surabaya,Kartu Kredit,L,Tidak,Tidak,Rendah,Silver,30,34,37,2909000.0,57.5,3.7,2020,2024-08-27,pengiriman lama kemasan rusak
CUST-1025,Bandung,COD,P,Tidak,Tidak,Sangat Tinggi,Bronze,38,12,21,1691000.0,6.9,5.0,2024,2025-05-30,barang sesuai deskripsi pengiriman cepat
